Dataset,Method,Fold,Test_Score,Num_Features,Runtime
adni,No Processing,1,0.9512195121951219,99,0.0507512092590332
adni,No Processing,2,0.9420731707317073,99,0.048158884048461914
adni,No Processing,3,0.9573170731707317,99,0.06914901733398438
adni,No Processing,4,0.9329268292682927,99,0.06865978240966797
adni,No Processing,5,0.9327217125382263,99,0.0645759105682373
adni,PCA,1,0.7835365853658537,49,0.3700859546661377
adni,PCA,2,0.801829268292683,49,0.4034411907196045
adni,PCA,3,0.8140243902439024,49,0.36015796661376953
adni,PCA,4,0.7774390243902439,49,0.42149877548217773
adni,PCA,5,0.7889908256880734,49,0.3807089328765869
adni,RFE,1,0.9451219512195121,20,2.3173770904541016
adni,RFE,2,0.9420731707317073,20,2.2639498710632324
adni,RFE,3,0.9573170731707317,20,2.260179042816162
adni,RFE,4,0.9390243902439024,20,2.2632648944854736
adni,RFE,5,0.9327217125382263,20,2.2586777210235596
adni,GRACE,1,0.9420731707317073,6,44.64827013015747
adni,GRACE,2,0.9695121951219512,6,54.8813910484314
adni,GRACE,3,0.9573170731707317,11,63.78791117668152
adni,GRACE,4,0.9420731707317073,12,62.342262983322144
adni,GRACE,5,0.926605504587156,15,59.5076949596405
