Dataset,Method,Fold,Test_Score,Num_Features,Runtime
mimic,No Processing,1,0.811096821989912,67,0.13194894790649414
mimic,No Processing,2,0.8069758792663855,67,0.1575307846069336
mimic,No Processing,3,0.8167233501666151,67,0.1310567855834961
mimic,No Processing,4,0.8032210590289156,67,0.1546950340270996
mimic,No Processing,5,0.8227912981885671,67,0.11343193054199219
mimic,PCA,1,0.7515440465895054,33,0.31252193450927734
mimic,PCA,2,0.7625222738522524,33,0.31403636932373047
mimic,PCA,3,0.7568494429483187,33,0.318248987197876
mimic,PCA,4,0.790519444924419,33,0.3508119583129883
mimic,PCA,5,0.7800249255074015,33,0.34778594970703125
mimic,RFE,1,0.7940185838236193,20,2.8723268508911133
mimic,RFE,2,0.8026308910885173,20,2.9402451515197754
mimic,RFE,3,0.808265634265213,20,2.8364551067352295
mimic,RFE,4,0.7937920432811186,20,2.9120709896087646
mimic,RFE,5,0.8188208501570546,20,2.8864481449127197
mimic,GRACE,1,0.7810030365627245,20,119.43501424789429
mimic,GRACE,2,0.7900305747363359,14,127.12777495384216
mimic,GRACE,3,0.8134268947150666,20,117.67158198356628
mimic,GRACE,4,0.7980209493961259,19,127.72963285446167
mimic,GRACE,5,0.8081273890680432,19,122.66089820861816
